freehold,freeholder
privity,privy
covin,coin
contemning,contending
anywise,anise
importuned,imported
importunity,importunately
complainers,complains
chiefest,chiefs
kingly,kingsley
misliked,misled
intimation,intimations
ourself,ours
prelates,pretest
indifferency,indifference
uprightness,upright
proofs,proof
impugned,impudent
aught,august
intendeth,intend
cavil,cavin
concerneth,concert
inconveniences,inconvenience
unquietness,uniqueness
unsteadfastness,unstressed
weal,wealth
1603,160
1562,156
forthwith,forthright
auditory,auditor
predestination,presentation
reprobation,reprobating
efficacity,efficacy
resistibility,resist
irresistibility,irresistibly
fitter,fitted
auditories,auditors
betwixt,bet
presidented,president
causelessly,causes
invectives,inventive
papists,papiers
remissness,remissions
lecturers,lectures
henceforward,henceforth
transgress,transgressed
beneficio,beneficial
altercations,altercation
nourish,nourishes
princely,prince
disputation,distraction
debarred,debated
recreations,recreation
meaner,mean
1618,161
traduced,traded
aspersion,aspires
530,5:30
discontentment,discontent
peradventure,perverted
barreth,barre
tipplings,tipping
precisians,precision
contemners,contender
whitsun,whit
ales,aloes
baitings,biting
bowling,bowing
belongeth,belong
suppressing,suppression
humours,humour
manlike,maniclike
dutiful,dutifully
romish,roi
seminaries,seminarians
mariners,marines
489,48
anno,annoy
primo,prim
sureties,sure
testifying,testify
anoyaunce,annoyance
hyndraunce,hyndman
purueyours,purveyors
takers,takes
beues,bees
wethers,weathers
lambes,lambs
calues,clues
kyn,kyne
grayne,grayed
chease,cease
pullayne,pullman
exchewe,exchequer
onelye,only
deceipt,deceit
daylye,dale
aduaunce,advance
premisses,premise
contentation,contention
faythfull,faithfully
assente,assented
assem,assembly
aucthoritie,authorities
byrthe,bayreuth
euerye,eurydice
graunted,granted
persos,persons
perso,person
calfes,cafes
kynde,kyne
salte,salted
fishe,fishes
bakon,backbone
connies,connie
pigges,pigs
gese,gee
capons,capone's
hennes,hens
extende,extended
monethes,months
nexte,next
ende,ended
wordes,words
commis,commies
sion,simon
playn,play
ly,lyon
aswel,asw
contayned,contained
countie,counties
hogges,hoge's
swyne,swine
pygges,pye
leuied,levied
purueyed,pursued
deputie,deputies
authorised,authorized
vertue,vertex
iuste,ist
ful,full
barrelles,barrels
vesselles,vessels
aucthorised,authorized
leuie,luise
puruaye,pursue
byrth,bayreuth
blanckes,blanks
parchement,parchment
seuerall,severally
fayre,fare
legeably,legal
kinde,kinder
therevnto,thereto
perticuler,perier
parishe,parishes
lyinge,lying
wherevnto,whereon
signe,signed
manuell,manuel
petie,petite
headborowe,headboard
headborowes,headdress
precepte,precept
priuie,privies
knowledgynge,knowledge
deliuerye,delivery
beforesayde,before
doket,docketed
brefe,briefed
wrytynge,wry
conteynynge,contending
connyes,cones
leuye,leyte
puruey,purely
dokettes,detest
brefes,briefest
faire,faires
legeablye,legal
wrytten,wratten
truely,truly
deliuer,deliver
hyghe,hygiene
headboro,headboard
kindes,kindest
deliuered,delivered
forfeyture,forfeited
markes,markers
offende,offended
moyte,motel
queenes,queens
courte,courted
recorde,recorded
byll,by
playnte,plane
writte,written
otherwyse,otherwise
ouer,outer
generall,generally
iustices,injustices
stewarde,steward
houshold,household
treasurrer,treasure
shyppes,shippers
prouision,provision
aforemencioned,aforementioned
nauye,nay
seruynge,serge
foresayde,foresaw
aunswerynge,answering
fullye,fully
appeare,appeared
alwayes,always
leaful,leaf
nes,nest
ordeyned,ordered
appoynted,appointed
limitted,limited
asmuch,asch
doynges,done
seruauntes,servants
entymes,enzymes
verye,very
vncharitablie,variable
prouisions,provisions
bene,benet
agaynste,agayne
losse,losses
cioned,coined
ianuarye,inure
commynge,comminge
victuall,victuals
thyng,thy
contrarye,contrary
forfeytures,forfeited
myght,might
selfes,selfless
strongely,strongly
ser,sera
uauntes,unites
speciallye,specially
perticulerlye,particularly
executi,executive
concernynge,concerning
henceforthe,henceforth
shabe,shambled
purueyour,purveyor
forthe,forte
englishe,english
tonge,tongue
praier,prairie
mecioned,mentioned
thesaied,these
boke,bloke
syng,saying
thesaid,thesis
conuicted,convicted
forfet,forfeit
souereigne,sovereign
heires,heiress
conuict,conduit
aforesaied,aforesaid
thesame,these
offendyng,offending
seconde,second
concernyng,concerning
abouesaid,abound
cattalles,cattle
emprisonment,eminent
duryng,during
paied,pained
conuiccion,conviction
sixe,six
wekes,weeks
paiyng,paying
stede,steed
baill,bailly
couiccion,conviction
ordeigned,ordered
determiner,determine
assise,assisted
enquire,enquired
determyne,determine
shalbee,shall
doen,dozen
conteigned,contend
limittes,limits
proces,process
maie,maier
endited,edited
trespasse,trespasses
alwaies,always
archebishopp,archbishop
bishopp,bishop
tymes,tyme
toyne,tone
hymself,hymselfe
dioces,diocese
inquirie,inquiries
hearyng,hearing
determinyng,determing
manne,manned
greke,greek
lattin,latin
hebrewe,hebrew
toungue,tongue
praiers,praise
euensong,evensong
latten,latent
saiyng,saying
priuatly,privately
derstande,deranged
encouragyng,encouraging
learnyng,learning
toungues,tongues
letany,lean
masse,masses
lat,lath
notwithstandyng,notwithstanding
lawfull,lawful
psalme,psalm
lettyng,letting
omittyng,omitting
bokes,blokes
foras,forays
sedicious,seditious
delytyng,del
continuall,continually
neuer,neuter
inuente,invented
spreade,spreader
publishe,publisher
vntrue,venture
vayne,van
brutes,brute
rashely,rash
discoursyng,discours
weightye,weighty
affayres,affaires
touchyng,touching
royall,royal
bounde,bounded
allegiaunce,allegiance
ordre,order
outragiouse,outrageous
incouenience,inconvenience
remedye,remedy
consideryng,considering
sufferaunce,suffer
li,lip
bertie,bert
speakyng,speaking
attemptes,attempts
folowed,followed
streyghtly,strength
commaunde,commander
louyng,lounge
partes,parties
forbeare,forbears
publyshe,publisher
iustice,injustice
knowe,knowed
offendours,offenders
pryson,prison
punyshed,punished
pillory,pill
qualitie,qualities
seme,seem
lyghte,lighter
sediciouse,seditious
naughtie,naughtier
talke,talker
proclamacion,proclamation
hearynge,heare
declarynge,declare
rumours,rumors
punyshmente,punishment
reqviring,requiring
commaunding,commanding
mayours,mayor
bayliffes,bafflers
sheriffes,sheriffs
endeuour,endevor
punyshment,punishment
aunswere,answered
remembrynge,remembrance
inconuenience,inconvenience
daungers,dangers
diuersitie,diversities
ligion,lion
sithens,sites
begynning,beginning
moost,moos
graciouse,gracious
thorowe,thor
certeyne,certifying
reportes,reporters
spredde,spree
lyght,light
vnderstande,verstandig
louynge,lounge
mooste,moos
gratious,gratis
folowynge,following
thonely,thorny
goodnes,goodness
thimperiall,thermal
crowne,crowned
belongynge,belonging
nowe,now
worlde,world
mynded,myne
obserue,observe
durynge,during
dothe,dot
woulde,wouldbe
gladde,gladden
charitablye,charitable
signifye,signify
myndeth,myne
compell,compel
thervnto,thereto
forbyddinge,forbidding
neuerthelesse,nevertheless
perylles,perle
moue,moune
sedicions,sedition
interpretyng,interpreting
braynes,branches
fansies,fantasies
wylleth,wallet
commaundeth,commandment
lyue,lyle
togethers,together
sorte,sorted
chri,chris
stian,stain
charitie,charities
leauynge,league
deuelishe,deus
termes,terms
papyste,paste
heretique,heretic
applyenge,applying
eares,ears
studye,study
trauayle,trauma
conuersations,conversations
godlye,godlike
doynge,done
liues,lies
dede,deed
expresse,expresses
thyrst,thirst
goddes,goddess
glorye,glory
holye,holy
worde,worded
rashe,rash
wor,worn
withoute,without
tranquillite,tranquillity
hyghnesse,highness
rashelye,rash
assembles,assemblies
aboute,about
accordinge,according
duetye,duet
seuerely,seerey
refourmed,reformed
accordyng,according
hygnesse,hygiene
nouryshed,nourished
maynteyned,maye
subteltye,subtlety
malyce,malice
euell,eel
auctoritie,authorities
preache,preacher
interprete,interpreter
brayne,brae
pryuate,pruta
playinge,playing
pryntynge,prying
fonde,fonder
ballettes,ballets
rymes,rhymes
treatises,treatise
englyshe,englishy
doctryne,doctrine
